15:12:44.8331 [INFO] uart5: [output] CANTRIP> [sreplay_app mltest best_fit
15:12:44.8332 [INFO] uart5: [virt: 2.21s (+12.2ms)] CANTRIP> [sreplay_app mltest best_fit
15:12:44.9908 [INFO] uart5: [output] {'bytes in-use': 38144, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685440, 'bytes requested': 38144, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
15:12:44.9909 [INFO] uart5: [virt:  2.24s (+1.8ms)] {'bytes in-use': 38144, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2685440, 'bytes requested': 38144, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
15:12:45.0018 [INFO] uart5: [output] {'bytes in-use': 42240, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681344, 'bytes requested': 42240, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 13}
15:12:45.0019 [INFO] uart5: [virt:  2.24s (+1.6ms)] {'bytes in-use': 42240, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2681344, 'bytes requested': 42240, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 13}
15:12:45.0093 [INFO] uart5: [output] {'bytes in-use': 58624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2664960, 'bytes requested': 58624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 17}
15:12:45.0094 [INFO] uart5: [virt:  2.25s (+1.6ms)] {'bytes in-use': 58624, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2664960, 'bytes requested': 58624, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 17}
15:12:45.0212 [INFO] uart5: [output] {'bytes in-use': 103680, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2619904, 'bytes requested': 103680, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
15:12:45.0213 [INFO] uart5: [virt:    2.25s (+2ms)] {'bytes in-use': 103680, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2619904, 'bytes requested': 103680, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
15:12:45.0326 [INFO] uart5: [output] {'bytes in-use': 107776, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2615808, 'bytes requested': 107776, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
15:12:45.0327 [INFO] uart5: [virt:  2.25s (+1.6ms)] {'bytes in-use': 107776, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2615808, 'bytes requested': 107776, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
15:12:45.0444 [INFO] uart5: [output] {'bytes in-use': 111872, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2611712, 'bytes requested': 111872, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 30}
15:12:45.0445 [INFO] uart5: [virt:  2.25s (+1.5ms)] {'bytes in-use': 111872, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2611712, 'bytes requested': 111872, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 30}
15:12:45.0561 [INFO] uart5: [output] {'bytes in-use': 112896, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2610688, 'bytes requested': 112896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 31}
15:12:45.0562 [INFO] uart5: [virt:  2.25s (+1.6ms)] {'bytes in-use': 112896, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2610688, 'bytes requested': 112896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 31}
15:12:45.0670 [INFO] uart5: [output] {'bytes in-use': 116992, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2606592, 'bytes requested': 116992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 32}
15:12:45.0671 [INFO] uart5: [virt:  2.25s (+1.6ms)] {'bytes in-use': 116992, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2606592, 'bytes requested': 116992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 32}
15:12:45.0787 [INFO] uart5: [output] {'bytes in-use': 121088, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2602496, 'bytes requested': 121088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 33}
15:12:45.0788 [INFO] uart5: [virt:  2.25s (+1.5ms)] {'bytes in-use': 121088, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2602496, 'bytes requested': 121088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 33}
15:12:45.0898 [INFO] uart5: [output] {'bytes in-use': 125184, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2598400, 'bytes requested': 125184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 34}
15:12:45.0899 [INFO] uart5: [virt:  2.26s (+1.6ms)] {'bytes in-use': 125184, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2598400, 'bytes requested': 125184, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 34}
