15:14:26.0999 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.1001 [INFO] uart5: [virt: 7.58s (+15.4ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 4 4 5 5 6 6 7 7 next_fit
15:14:26.2485 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
15:14:26.2486 [INFO] uart5: [virt:     7.6s (+2ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 46400, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
15:14:26.2620 [INFO] uart5: [output] {'bytes in-use': 4096, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.2621 [INFO] uart5: [virt:   7.6s (+1.9ms)] {'bytes in-use': 4096, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2719488, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
15:14:26.2758 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.2759 [INFO] uart5: [virt:   7.6s (+1.5ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
15:14:26.2885 [INFO] uart5: [output] {'bytes in-use': 12288, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:14:26.2886 [INFO] uart5: [virt:  7.61s (+1.6ms)] {'bytes in-use': 12288, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2711296, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
15:14:26.2993 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
15:14:26.2994 [INFO] uart5: [virt:  7.61s (+1.5ms)] {'bytes in-use': 16384, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
