01:28:09.9766 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:09.9767 [INFO] uart5: [virt: 3.79s (+13.3ms)] CANTRIP> [sreplay_seq_app  0 1 2 1 2 3 0 3 best_fit
01:28:10.0957 [INFO] uart5: [virt:  3.81s (+1.2ms)] {'bytes in-use': 62784, 'bytes free': 2660800, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 19}
01:28:10.1008 [INFO] uart5: [output] {'bytes in-use': 66880, 'bytes free': 2656704, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 20}
01:28:10.1008 [INFO] uart5: [virt:  3.81s (+1.3ms)] {'bytes in-use': 66880, 'bytes free': 2656704, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 20}
01:28:10.1101 [INFO] uart5: [output] {'bytes in-use': 70976, 'bytes free': 2652608, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 21}
01:28:10.1101 [INFO] uart5: [virt:  3.81s (+1.5ms)] {'bytes in-use': 70976, 'bytes free': 2652608, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 21}
01:28:10.1181 [INFO] uart5: [output] {'bytes in-use': 75072, 'bytes free': 2648512, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 22}
01:28:10.1181 [INFO] uart5: [virt:  3.81s (+1.3ms)] {'bytes in-use': 75072, 'bytes free': 2648512, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 22}
01:28:10.1233 [INFO] uart5: [output] {'bytes in-use': 75328, 'bytes free': 2648256, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 23}
01:28:10.1234 [INFO] uart5: [virt:  3.81s (+1.2ms)] {'bytes in-use': 75328, 'bytes free': 2648256, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 23}
01:28:10.1322 [INFO] uart5: [output] {'bytes in-use': 75840, 'bytes free': 2647744, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 24}
01:28:10.1323 [INFO] uart5: [virt:  3.81s (+1.3ms)] {'bytes in-use': 75840, 'bytes free': 2647744, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 24}
01:28:10.1412 [INFO] uart5: [output] {'bytes in-use': 76096, 'bytes free': 2647488, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 25}
01:28:10.1413 [INFO] uart5: [virt:  3.81s (+1.2ms)] {'bytes in-use': 76096, 'bytes free': 2647488, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 25}
