15:13:20.4975 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.4976 [INFO] uart5: [virt: 4.16s (+11.6ms)] CANTRIP> [sreplay_seq_app  0 1 2 3 4 5 6 7 7 6 5 4 3 2 1 0 best_fit
15:13:20.6204 [INFO] uart5: [output] {'bytes in-use': 50496, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673088, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 16}
15:13:20.6205 [INFO] uart5: [virt:  4.18s (+1.6ms)] {'bytes in-use': 50496, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2673088, 'bytes requested': 50496, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 16}
15:13:20.6313 [INFO] uart5: [output] {'bytes in-use': 54592, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2668992, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 17}
15:13:20.6314 [INFO] uart5: [virt:  4.19s (+1.6ms)] {'bytes in-use': 54592, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2668992, 'bytes requested': 54592, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 17}
15:13:20.6388 [INFO] uart5: [output] {'bytes in-use': 58688, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2664896, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 18}
15:13:20.6389 [INFO] uart5: [virt:  4.19s (+1.5ms)] {'bytes in-use': 58688, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2664896, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 18}
15:13:20.6506 [INFO] uart5: [output] {'bytes in-use': 62784, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660800, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 19}
15:13:20.6507 [INFO] uart5: [virt:  4.19s (+1.6ms)] {'bytes in-use': 62784, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2660800, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 19}
15:13:20.6618 [INFO] uart5: [output] {'bytes in-use': 66880, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656704, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 20}
15:13:20.6619 [INFO] uart5: [virt:  4.19s (+1.6ms)] {'bytes in-use': 66880, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2656704, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 20}
15:13:20.6724 [INFO] uart5: [output] {'bytes in-use': 70976, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652608, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 21}
15:13:20.6725 [INFO] uart5: [virt:  4.19s (+1.8ms)] {'bytes in-use': 70976, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2652608, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 21}
15:13:20.6835 [INFO] uart5: [output] {'bytes in-use': 75072, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2648512, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 22}
15:13:20.6837 [INFO] uart5: [virt:  4.19s (+1.6ms)] {'bytes in-use': 75072, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2648512, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 22}
15:13:20.6973 [INFO] uart5: [output] {'bytes in-use': 75328, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2648256, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 23}
15:13:20.6975 [INFO] uart5: [virt:   4.2s (+1.6ms)] {'bytes in-use': 75328, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2648256, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 192, 'objs in-use': 23}
15:13:20.7160 [INFO] uart5: [output] {'bytes in-use': 75840, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2647744, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 24}
15:13:20.7161 [INFO] uart5: [virt:   4.2s (+1.5ms)] {'bytes in-use': 75840, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2647744, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 24}
15:13:20.7309 [INFO] uart5: [output] {'bytes in-use': 76096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2647488, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 25}
15:13:20.7310 [INFO] uart5: [virt:   4.2s (+1.6ms)] {'bytes in-use': 76096, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2647488, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 25}
15:13:20.7449 [INFO] uart5: [output] {'bytes in-use': 80192, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2643392, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 26}
15:13:20.7450 [INFO] uart5: [virt:   4.2s (+1.6ms)] {'bytes in-use': 80192, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2643392, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 448, 'objs in-use': 26}
