01:27:58.4945 [INFO] uart5: [output] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.4946 [INFO] uart5: [virt:   2.69s (+13ms)] CANTRIP> [sreplay_seq_app  0 0 1 1 2 2 3 3 best_fit
01:27:58.6336 [INFO] uart5: [virt:  2.72s (+1.3ms)] {'bytes in-use': 12288, 'bytes free': 2711296, 'bytes requested': 58688, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.6399 [INFO] uart5: [output] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.6400 [INFO] uart5: [virt:  2.72s (+1.2ms)] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 62784, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.6505 [INFO] uart5: [output] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.6506 [INFO] uart5: [virt:  2.72s (+1.4ms)] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 66880, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.6562 [INFO] uart5: [output] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.6563 [INFO] uart5: [virt:  2.73s (+1.3ms)] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 70976, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.6664 [INFO] uart5: [output] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
01:27:58.6666 [INFO] uart5: [virt:  2.73s (+1.2ms)] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 75072, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
01:27:58.6754 [INFO] uart5: [output] {'bytes in-use': 28928, 'bytes free': 2694656, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
01:27:58.6754 [INFO] uart5: [virt:  2.73s (+1.3ms)] {'bytes in-use': 28928, 'bytes free': 2694656, 'bytes requested': 75328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
01:27:58.6807 [INFO] uart5: [output] {'bytes in-use': 29440, 'bytes free': 2694144, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
01:27:58.6808 [INFO] uart5: [virt:  2.73s (+1.2ms)] {'bytes in-use': 29440, 'bytes free': 2694144, 'bytes requested': 75840, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
01:27:58.6902 [INFO] uart5: [output] {'bytes in-use': 29696, 'bytes free': 2693888, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
01:27:58.6902 [INFO] uart5: [virt:  2.73s (+1.3ms)] {'bytes in-use': 29696, 'bytes free': 2693888, 'bytes requested': 76096, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
01:27:58.6959 [INFO] uart5: [output] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
01:27:58.6960 [INFO] uart5: [virt:  2.73s (+1.2ms)] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 80192, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
01:27:58.7044 [INFO] uart5: [output] {'bytes in-use': 37888, 'bytes free': 2685696, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
01:27:58.7045 [INFO] uart5: [virt:  2.73s (+1.4ms)] {'bytes in-use': 37888, 'bytes free': 2685696, 'bytes requested': 84288, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
01:27:58.7132 [INFO] uart5: [output] {'bytes in-use': 54272, 'bytes free': 2669312, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 16}
01:27:58.7133 [INFO] uart5: [virt:  2.73s (+1.3ms)] {'bytes in-use': 54272, 'bytes free': 2669312, 'bytes requested': 100672, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 16}
01:27:58.7230 [INFO] uart5: [output] {'bytes in-use': 95232, 'bytes free': 2628352, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 26}
01:27:58.7231 [INFO] uart5: [virt:  2.74s (+1.7ms)] {'bytes in-use': 95232, 'bytes free': 2628352, 'bytes requested': 141632, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 26}
01:27:58.7324 [INFO] uart5: [output] {'bytes in-use': 99328, 'bytes free': 2624256, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 27}
01:27:58.7325 [INFO] uart5: [virt:  2.74s (+1.3ms)] {'bytes in-use': 99328, 'bytes free': 2624256, 'bytes requested': 145728, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 27}
01:27:58.7411 [INFO] uart5: [output] {'bytes in-use': 103424, 'bytes free': 2620160, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
01:27:58.7412 [INFO] uart5: [virt:  2.74s (+1.2ms)] {'bytes in-use': 103424, 'bytes free': 2620160, 'bytes requested': 149824, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 28}
01:27:58.7492 [INFO] uart5: [output] {'bytes in-use': 104448, 'bytes free': 2619136, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
01:27:58.7493 [INFO] uart5: [virt:  2.74s (+1.3ms)] {'bytes in-use': 104448, 'bytes free': 2619136, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 29}
01:27:58.7585 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
01:27:58.7585 [INFO] uart5: [virt:  2.74s (+2.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 150848, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
01:27:58.7667 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.7668 [INFO] uart5: [virt:  2.74s (+1.3ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 154944, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
01:27:58.7825 [INFO] uart5: [output] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.7826 [INFO] uart5: [virt: 2.75s (+11.3ms)] {'bytes in-use': 8192, 'bytes free': 2715392, 'bytes requested': 159040, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
01:27:58.7892 [INFO] uart5: [output] {'bytes in-use': 12288, 'bytes free': 2711296, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.7893 [INFO] uart5: [virt:  2.76s (+1.3ms)] {'bytes in-use': 12288, 'bytes free': 2711296, 'bytes requested': 163136, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 3}
01:27:58.7986 [INFO] uart5: [output] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.7987 [INFO] uart5: [virt:  2.76s (+1.2ms)] {'bytes in-use': 16384, 'bytes free': 2707200, 'bytes requested': 167232, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 4}
01:27:58.8077 [INFO] uart5: [output] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.8078 [INFO] uart5: [virt:  2.76s (+1.4ms)] {'bytes in-use': 20480, 'bytes free': 2703104, 'bytes requested': 171328, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
01:27:58.8142 [INFO] uart5: [output] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.8143 [INFO] uart5: [virt:  2.76s (+1.3ms)] {'bytes in-use': 24576, 'bytes free': 2699008, 'bytes requested': 175424, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 6}
01:27:58.8232 [INFO] uart5: [output] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
01:27:58.8233 [INFO] uart5: [virt:  2.76s (+1.2ms)] {'bytes in-use': 28672, 'bytes free': 2694912, 'bytes requested': 179520, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 7}
01:27:58.8296 [INFO] uart5: [output] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
01:27:58.8297 [INFO] uart5: [virt:  2.76s (+1.3ms)] {'bytes in-use': 32768, 'bytes free': 2690816, 'bytes requested': 183616, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 8}
01:27:58.8399 [INFO] uart5: [output] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
01:27:58.8400 [INFO] uart5: [virt:  2.76s (+1.2ms)] {'bytes in-use': 33280, 'bytes free': 2690304, 'bytes requested': 184128, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 9}
01:27:58.8502 [INFO] uart5: [output] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
01:27:58.8503 [INFO] uart5: [virt:  2.76s (+1.3ms)] {'bytes in-use': 33792, 'bytes free': 2689792, 'bytes requested': 184640, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 10}
01:27:58.8598 [INFO] uart5: [output] {'bytes in-use': 34048, 'bytes free': 2689536, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
01:27:58.8599 [INFO] uart5: [virt:  2.77s (+1.2ms)] {'bytes in-use': 34048, 'bytes free': 2689536, 'bytes requested': 184896, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 11}
01:27:58.8713 [INFO] uart5: [output] {'bytes in-use': 38144, 'bytes free': 2685440, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
01:27:58.8714 [INFO] uart5: [virt:  2.77s (+1.5ms)] {'bytes in-use': 38144, 'bytes free': 2685440, 'bytes requested': 188992, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 12}
01:27:58.8808 [INFO] uart5: [output] {'bytes in-use': 42240, 'bytes free': 2681344, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 13}
01:27:58.8809 [INFO] uart5: [virt:  2.77s (+1.3ms)] {'bytes in-use': 42240, 'bytes free': 2681344, 'bytes requested': 193088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 13}
01:27:58.8919 [INFO] uart5: [output] {'bytes in-use': 58624, 'bytes free': 2664960, 'bytes requested': 209472, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 17}
