13:17:32.4058 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile best_fit
13:17:32.4059 [INFO] uart5: [virt: 3.41s (+16.2ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 16 profile best_fit
13:17:32.4069 [INFO] uart5: [output] Begin synthetic workload!
13:17:32.4070 [INFO] uart5: [virt:  3.41s (+0.1ms)] Begin synthetic workload!
13:17:32.4193 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:17:32.4194 [INFO] uart5: [virt:  3.42s (+1.7ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:17:32.4354 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:17:32.4356 [INFO] uart5: [virt:  3.42s (+4.1ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:17:32.4472 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:17:32.4473 [INFO] uart5: [virt:  3.42s (+1.6ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:17:32.4622 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:17:32.4623 [INFO] uart5: [virt:  3.42s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:17:32.4743 [INFO] uart5: [output] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:17:32.4744 [INFO] uart5: [virt:  3.42s (+1.7ms)] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:17:32.4875 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:17:32.4876 [INFO] uart5: [virt:  3.43s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
