13:22:18.9950 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile best_fit
13:22:18.9951 [INFO] uart5: [virt: 9.23s (+17.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile best_fit
13:22:18.9961 [INFO] uart5: [output] Begin synthetic workload!
13:22:18.9962 [INFO] uart5: [virt:  9.23s (+0.1ms)] Begin synthetic workload!
13:22:19.0083 [INFO] uart5: [output] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:22:19.0084 [INFO] uart5: [virt:  9.23s (+1.7ms)] {'bytes in-use': 16384, 'slab resets': 0,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2707200, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:22:19.0220 [INFO] uart5: [output] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:22:19.0221 [INFO] uart5: [virt:  9.23s (+4.1ms)] {'bytes in-use': 0, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723584, 'bytes requested': 16384, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
13:22:19.0351 [INFO] uart5: [output] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:22:19.0352 [INFO] uart5: [virt:  9.24s (+1.6ms)] {'bytes in-use': 8192, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2715392, 'bytes requested': 24576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
13:22:19.0441 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:22:19.0442 [INFO] uart5: [virt:  9.24s (+1.6ms)] {'bytes in-use': 8704, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 25088, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
13:22:19.0526 [INFO] uart5: [output] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:22:19.0526 [INFO] uart5: [virt:  9.24s (+1.7ms)] {'bytes in-use': 20992, 'slab resets': 1,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2702592, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 5}
13:22:19.0616 [INFO] uart5: [output] {'bytes in-use': 8704, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2714880, 'bytes requested': 37376, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
