00:05:51.5569 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5570 [INFO] uart5: [virt: 7.71s (+14.8ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 false best_fit
00:05:51.5578 [INFO] uart5: [output] Begin synthetic workload!
00:05:51.7240 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7241 [INFO] uart5: [virt:  7.74s (+1.3ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7344 [INFO] uart5: [output] {'bytes in-use': 32, 'bytes free': 2723552, 'bytes requested': 37968, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7346 [INFO] uart5: [virt:  7.74s (+1.2ms)] {'bytes in-use': 32, 'bytes free': 2723552, 'bytes requested': 37968, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7452 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37968, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7453 [INFO] uart5: [virt:  7.75s (+1.3ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37968, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7533 [INFO] uart5: [output] {'bytes in-use': 4112, 'bytes free': 2719472, 'bytes requested': 42064, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7534 [INFO] uart5: [virt:  7.75s (+1.2ms)] {'bytes in-use': 4112, 'bytes free': 2719472, 'bytes requested': 42064, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7659 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42064, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7661 [INFO] uart5: [virt:  7.75s (+1.3ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42064, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7809 [INFO] uart5: [output] {'bytes in-use': 4608, 'bytes free': 2718976, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7810 [INFO] uart5: [virt:  7.75s (+1.2ms)] {'bytes in-use': 4608, 'bytes free': 2718976, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
00:05:51.7939 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.7940 [INFO] uart5: [virt:  7.75s (+1.2ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
00:05:51.8067 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
00:05:51.8067 [INFO] uart5: [virt:  7.75s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
