13:20:18.2043 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2044 [INFO] uart5: [virt: 6.48s (+17.1ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile best_fit
13:20:18.2051 [INFO] uart5: [output] Begin synthetic workload!
13:20:18.2052 [INFO] uart5: [virt:  6.48s (+0.1ms)] Begin synthetic workload!
13:20:18.3254 [INFO] uart5: [output] {'bytes in-use': 30256, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693328, 'bytes requested': 59440, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 10}
13:20:18.3255 [INFO] uart5: [virt:   6.5s (+1.6ms)] {'bytes in-use': 30256, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2693328, 'bytes requested': 59440, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 10}
13:20:18.3373 [INFO] uart5: [output] {'bytes in-use': 31280, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692304, 'bytes requested': 60464, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 11}
13:20:18.3374 [INFO] uart5: [virt:   6.5s (+1.5ms)] {'bytes in-use': 31280, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692304, 'bytes requested': 60464, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 11}
13:20:18.3443 [INFO] uart5: [output] {'bytes in-use': 31296, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692288, 'bytes requested': 60480, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 12}
13:20:18.3443 [INFO] uart5: [virt:   6.5s (+1.6ms)] {'bytes in-use': 31296, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692288, 'bytes requested': 60480, 'lhs fragmentation': 512, 'in-between fragmentation': 464, 'objs in-use': 12}
13:20:18.3544 [INFO] uart5: [output] {'bytes in-use': 31552, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692032, 'bytes requested': 60736, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 13}
13:20:18.3544 [INFO] uart5: [virt:   6.5s (+1.6ms)] {'bytes in-use': 31552, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2692032, 'bytes requested': 60736, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 13}
13:20:18.3708 [INFO] uart5: [output] {'bytes in-use': 35648, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687936, 'bytes requested': 64832, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 14}
13:20:18.3709 [INFO] uart5: [virt:   6.5s (+1.6ms)] {'bytes in-use': 35648, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687936, 'bytes requested': 64832, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 14}
13:20:18.3831 [INFO] uart5: [output] {'bytes in-use': 76608, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646976, 'bytes requested': 105792, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 24}
13:20:18.3832 [INFO] uart5: [virt:  6.51s (+2.2ms)] {'bytes in-use': 76608, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646976, 'bytes requested': 105792, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 24}
13:20:18.3982 [INFO] uart5: [output] {'bytes in-use': 76736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646848, 'bytes requested': 105920, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 25}
13:20:18.3983 [INFO] uart5: [virt:  6.51s (+1.6ms)] {'bytes in-use': 76736, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646848, 'bytes requested': 105920, 'lhs fragmentation': 512, 'in-between fragmentation': 704, 'objs in-use': 25}
13:20:18.4087 [INFO] uart5: [output] {'bytes in-use': 77248, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646336, 'bytes requested': 106432, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 26}
13:20:18.4089 [INFO] uart5: [virt:  6.51s (+1.6ms)] {'bytes in-use': 77248, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646336, 'bytes requested': 106432, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 26}
13:20:18.4220 [INFO] uart5: [output] {'bytes in-use': 77264, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646320, 'bytes requested': 106448, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 27}
13:20:18.4221 [INFO] uart5: [virt:  6.51s (+1.6ms)] {'bytes in-use': 77264, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2646320, 'bytes requested': 106448, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 27}
13:20:18.4339 [INFO] uart5: [output] {'bytes in-use': 36304, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687280, 'bytes requested': 106448, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 17}
13:20:18.4340 [INFO] uart5: [virt:  6.51s (+1.7ms)] {'bytes in-use': 36304, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687280, 'bytes requested': 106448, 'lhs fragmentation': 512, 'in-between fragmentation': 1088, 'objs in-use': 17}
13:20:18.4490 [INFO] uart5: [output] {'bytes in-use': 36336, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687248, 'bytes requested': 106480, 'lhs fragmentation': 512, 'in-between fragmentation': 1104, 'objs in-use': 18}
13:20:18.4491 [INFO] uart5: [virt:  6.51s (+1.6ms)] {'bytes in-use': 36336, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687248, 'bytes requested': 106480, 'lhs fragmentation': 512, 'in-between fragmentation': 1104, 'objs in-use': 18}
13:20:18.4633 [INFO] uart5: [output] {'bytes in-use': 36208, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687376, 'bytes requested': 106480, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 17}
13:20:18.4635 [INFO] uart5: [virt:  6.52s (+1.6ms)] {'bytes in-use': 36208, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687376, 'bytes requested': 106480, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 17}
13:20:18.4797 [INFO] uart5: [output] {'bytes in-use': 36240, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687344, 'bytes requested': 106512, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 18}
13:20:18.4798 [INFO] uart5: [virt:  6.52s (+1.5ms)] {'bytes in-use': 36240, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687344, 'bytes requested': 106512, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 18}
13:20:18.4969 [INFO] uart5: [output] {'bytes in-use': 36256, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687328, 'bytes requested': 106528, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 19}
13:20:18.4970 [INFO] uart5: [virt:  6.52s (+1.6ms)] {'bytes in-use': 36256, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687328, 'bytes requested': 106528, 'lhs fragmentation': 640, 'in-between fragmentation': 1104, 'objs in-use': 19}
13:20:18.5112 [INFO] uart5: [output] {'bytes in-use': 36288, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687296, 'bytes requested': 106560, 'lhs fragmentation': 640, 'in-between fragmentation': 1120, 'objs in-use': 20}
13:20:18.5114 [INFO] uart5: [virt:  6.52s (+1.6ms)] {'bytes in-use': 36288, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2687296, 'bytes requested': 106560, 'lhs fragmentation': 640, 'in-between fragmentation': 1120, 'objs in-use': 20}
13:20:18.5260 [INFO] uart5: [output] {'bytes in-use': 37312, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2686272, 'bytes requested': 107584, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 21}
13:20:18.5263 [INFO] uart5: [virt:  6.52s (+1.6ms)] {'bytes in-use': 37312, 'slab resets': 3,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2686272, 'bytes requested': 107584, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 21}
13:20:18.5397 [INFO] uart5: [output] {'bytes in-use': 16832, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2706752, 'bytes requested': 107584, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 16}
13:20:18.5398 [INFO] uart5: [virt:  6.52s (+1.6ms)] {'bytes in-use': 16832, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2706752, 'bytes requested': 107584, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 16}
13:20:18.5550 [INFO] uart5: [output] {'bytes in-use': 16848, 'slab resets': 4,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2706736, 'bytes requested': 107600, 'lhs fragmentation': 640, 'in-between fragmentation': 1472, 'objs in-use': 17}
