13:50:28.0329 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0330 [INFO] uart5: [virt:   26.72s (+20ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 48 profile next_fit
13:50:28.0336 [INFO] uart5: [output] Begin synthetic workload!
13:50:28.1862 [INFO] uart5: [output] {'bytes in-use': 48, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723536, 'bytes requested': 37936, 'lhs fragmentation': 512, 'in-between fragmentation': 480, 'objs in-use': 2}
13:50:28.1864 [INFO] uart5: [virt:  26.75s (+1.6ms)] {'bytes in-use': 48, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2723536, 'bytes requested': 37936, 'lhs fragmentation': 512, 'in-between fragmentation': 480, 'objs in-use': 2}
13:50:28.2009 [INFO] uart5: [output] {'bytes in-use': 1072, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722512, 'bytes requested': 38960, 'lhs fragmentation': 512, 'in-between fragmentation': 1488, 'objs in-use': 3}
13:50:28.2011 [INFO] uart5: [virt:  26.75s (+1.5ms)] {'bytes in-use': 1072, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722512, 'bytes requested': 38960, 'lhs fragmentation': 512, 'in-between fragmentation': 1488, 'objs in-use': 3}
13:50:28.2152 [INFO] uart5: [output] {'bytes in-use': 1088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722496, 'bytes requested': 38976, 'lhs fragmentation': 512, 'in-between fragmentation': 1488, 'objs in-use': 4}
13:50:28.2154 [INFO] uart5: [virt:  26.75s (+1.5ms)] {'bytes in-use': 1088, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722496, 'bytes requested': 38976, 'lhs fragmentation': 512, 'in-between fragmentation': 1488, 'objs in-use': 4}
13:50:28.2268 [INFO] uart5: [output] {'bytes in-use': 1344, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722240, 'bytes requested': 39232, 'lhs fragmentation': 512, 'in-between fragmentation': 1728, 'objs in-use': 5}
13:50:28.2269 [INFO] uart5: [virt:  26.75s (+1.6ms)] {'bytes in-use': 1344, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2722240, 'bytes requested': 39232, 'lhs fragmentation': 512, 'in-between fragmentation': 1728, 'objs in-use': 5}
13:50:28.2339 [INFO] uart5: [output] {'bytes in-use': 5440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718144, 'bytes requested': 43328, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 6}
13:50:28.2340 [INFO] uart5: [virt:  26.75s (+1.5ms)] {'bytes in-use': 5440, 'slab resets': 2,'untyped_too_small': 0, 'oom': 0, 'bytes free': 2718144, 'bytes requested': 43328, 'lhs fragmentation': 512, 'in-between fragmentation': 2240, 'objs in-use': 6}
