10:59:00.9065 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9065 [INFO] uart5: [virt:    17.3s (+16ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 32 profile next_fit
10:59:00.9076 [INFO] uart5: [output] Begin synthetic workload!
10:59:00.9077 [INFO] uart5: [virt:   17.3s (+0.1ms)] Begin synthetic workload!
10:59:01.0314 [INFO] uart5: [output] {'bytes in-use': 31552, 'bytes free': 2692032, 'bytes requested': 60736, 'lhs fragmentation': 12800, 'in-between fragmentation': 8384, 'objs in-use': 13}
10:59:01.0315 [INFO] uart5: [virt:  17.34s (+1.2ms)] {'bytes in-use': 31552, 'bytes free': 2692032, 'bytes requested': 60736, 'lhs fragmentation': 12800, 'in-between fragmentation': 8384, 'objs in-use': 13}
10:59:01.0424 [INFO] uart5: [output] {'bytes in-use': 35648, 'bytes free': 2687936, 'bytes requested': 64832, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 14}
10:59:01.0425 [INFO] uart5: [virt:  17.34s (+1.3ms)] {'bytes in-use': 35648, 'bytes free': 2687936, 'bytes requested': 64832, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 14}
10:59:01.0510 [INFO] uart5: [output] {'bytes in-use': 76608, 'bytes free': 2646976, 'bytes requested': 105792, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 24}
10:59:01.0511 [INFO] uart5: [virt:  17.34s (+1.3ms)] {'bytes in-use': 76608, 'bytes free': 2646976, 'bytes requested': 105792, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 24}
10:59:01.0600 [INFO] uart5: [output] {'bytes in-use': 76736, 'bytes free': 2646848, 'bytes requested': 105920, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 25}
10:59:01.0601 [INFO] uart5: [virt:  17.34s (+1.2ms)] {'bytes in-use': 76736, 'bytes free': 2646848, 'bytes requested': 105920, 'lhs fragmentation': 12800, 'in-between fragmentation': 8896, 'objs in-use': 25}
10:59:01.0658 [INFO] uart5: [output] {'bytes in-use': 77248, 'bytes free': 2646336, 'bytes requested': 106432, 'lhs fragmentation': 12800, 'in-between fragmentation': 9280, 'objs in-use': 26}
10:59:01.0659 [INFO] uart5: [virt:  17.34s (+1.3ms)] {'bytes in-use': 77248, 'bytes free': 2646336, 'bytes requested': 106432, 'lhs fragmentation': 12800, 'in-between fragmentation': 9280, 'objs in-use': 26}
10:59:01.0740 [INFO] uart5: [output] {'bytes in-use': 77264, 'bytes free': 2646320, 'bytes requested': 106448, 'lhs fragmentation': 12800, 'in-between fragmentation': 9280, 'objs in-use': 27}
10:59:01.0741 [INFO] uart5: [virt:  17.34s (+1.2ms)] {'bytes in-use': 77264, 'bytes free': 2646320, 'bytes requested': 106448, 'lhs fragmentation': 12800, 'in-between fragmentation': 9280, 'objs in-use': 27}
10:59:01.0834 [INFO] uart5: [output] {'bytes in-use': 36304, 'bytes free': 2687280, 'bytes requested': 106448, 'lhs fragmentation': 53760, 'in-between fragmentation': 9280, 'objs in-use': 17}
10:59:01.0835 [INFO] uart5: [virt:  17.35s (+1.4ms)] {'bytes in-use': 36304, 'bytes free': 2687280, 'bytes requested': 106448, 'lhs fragmentation': 53760, 'in-between fragmentation': 9280, 'objs in-use': 17}
10:59:01.0895 [INFO] uart5: [output] {'bytes in-use': 36336, 'bytes free': 2687248, 'bytes requested': 106480, 'lhs fragmentation': 53760, 'in-between fragmentation': 9296, 'objs in-use': 18}
10:59:01.0895 [INFO] uart5: [virt:  17.35s (+1.3ms)] {'bytes in-use': 36336, 'bytes free': 2687248, 'bytes requested': 106480, 'lhs fragmentation': 53760, 'in-between fragmentation': 9296, 'objs in-use': 18}
10:59:01.0975 [INFO] uart5: [output] {'bytes in-use': 36208, 'bytes free': 2687376, 'bytes requested': 106480, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 17}
10:59:01.0976 [INFO] uart5: [virt:  17.35s (+1.2ms)] {'bytes in-use': 36208, 'bytes free': 2687376, 'bytes requested': 106480, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 17}
10:59:01.1068 [INFO] uart5: [output] {'bytes in-use': 36240, 'bytes free': 2687344, 'bytes requested': 106512, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 18}
10:59:01.1070 [INFO] uart5: [virt:  17.35s (+1.3ms)] {'bytes in-use': 36240, 'bytes free': 2687344, 'bytes requested': 106512, 'lhs fragmentation': 53888, 'in-between fragmentation': 9296, 'objs in-use': 18}
