11:02:15.8183 [INFO] uart5: [output] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8184 [INFO] uart5: [virt:  19.77s (+9.7ms)] CANTRIP> [ssynthetic_random_alloc 42 1000 64 profile next_fit
11:02:15.8195 [INFO] uart5: [output] Begin synthetic workload!
11:02:15.9434 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.9434 [INFO] uart5: [virt:   19.8s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37952, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.9527 [INFO] uart5: [output] {'bytes in-use': 32, 'bytes free': 2723552, 'bytes requested': 37968, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:15.9528 [INFO] uart5: [virt:   19.8s (+1.2ms)] {'bytes in-use': 32, 'bytes free': 2723552, 'bytes requested': 37968, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 2}
11:02:15.9578 [INFO] uart5: [output] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37968, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.9579 [INFO] uart5: [virt:   19.8s (+1.2ms)] {'bytes in-use': 16, 'bytes free': 2723568, 'bytes requested': 37968, 'lhs fragmentation': 16, 'in-between fragmentation': 0, 'objs in-use': 1}
11:02:15.9681 [INFO] uart5: [output] {'bytes in-use': 4112, 'bytes free': 2719472, 'bytes requested': 42064, 'lhs fragmentation': 16, 'in-between fragmentation': 4064, 'objs in-use': 2}
11:02:15.9682 [INFO] uart5: [virt:   19.8s (+1.3ms)] {'bytes in-use': 4112, 'bytes free': 2719472, 'bytes requested': 42064, 'lhs fragmentation': 16, 'in-between fragmentation': 4064, 'objs in-use': 2}
11:02:15.9795 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42064, 'lhs fragmentation': 32, 'in-between fragmentation': 4064, 'objs in-use': 1}
11:02:15.9796 [INFO] uart5: [virt:   19.8s (+1.2ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42064, 'lhs fragmentation': 32, 'in-between fragmentation': 4064, 'objs in-use': 1}
11:02:15.9893 [INFO] uart5: [output] {'bytes in-use': 4608, 'bytes free': 2718976, 'bytes requested': 42576, 'lhs fragmentation': 32, 'in-between fragmentation': 4064, 'objs in-use': 2}
11:02:15.9893 [INFO] uart5: [virt:   19.8s (+1.2ms)] {'bytes in-use': 4608, 'bytes free': 2718976, 'bytes requested': 42576, 'lhs fragmentation': 32, 'in-between fragmentation': 4064, 'objs in-use': 2}
11:02:15.9986 [INFO] uart5: [output] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42576, 'lhs fragmentation': 544, 'in-between fragmentation': 4064, 'objs in-use': 1}
11:02:15.9987 [INFO] uart5: [virt:  19.81s (+1.2ms)] {'bytes in-use': 4096, 'bytes free': 2719488, 'bytes requested': 42576, 'lhs fragmentation': 544, 'in-between fragmentation': 4064, 'objs in-use': 1}
11:02:16.0097 [INFO] uart5: [output] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
11:02:16.0098 [INFO] uart5: [virt:  19.81s (+1.2ms)] {'bytes in-use': 0, 'bytes free': 2723584, 'bytes requested': 42576, 'lhs fragmentation': 0, 'in-between fragmentation': 0, 'objs in-use': 0}
